tabulacao|tipo
WPP - ACORDO|SUCESSO
WPP - ALEGA NEGOCIAÇÃO JUDICIAL|CPC
WPP - ALEGA PAGAMENTO|CPC
WPP - CLIENTE ABANDONOU A CONVERSA|CPC
WPP - CLIENTE ABANDONOU A CONVERSA APÓS 30 MIN SEM PROPOSTA|CPC
WPP - CLIENTE COM ACORDO|CPC
WPP - CLIENTE COM PROMESSA|CPC
WPP - CLIENTE FALECIDO OPERAÇÃO|CPC
WPP - COM PREVISÃO DE PAGAMENTO 15 DIAS|TARGET
WPP - COM PREVISÃO DE PAGAMENTO ATÉ 15 DIAS|TARGET
WPP - DESCONHECE A DÍVIDA|CPC
WPP - DESCONHECE A DÍVIDA - ORIENTAÇÃO|CPC
WPP - ENVIO DE ANÁLISE DE EXCEÇÃO|TARGET
WPP - ENVIO DE BOLETO|CPC
WPP - ENVIO SEGUNDA VIA DE BOLETO ACORDO|CPC
WPP - ERRO SISTÊMICO|CPC
WPP - FORA DO PERÍODO DE ACORDO CBR 66/70 DIAS|CPC
WPP - FORA DO PERÍODO DE NEGOCIAÇAO|CPC
WPP - JÁ LIQUIDOU|CPC
WPP - PAGOU PARCELAMENTO CBR AGUARDA ADESÃO|CPC
WPP - PARCELAMENTO CBR|CPC
WPP - PROMESSA DE PAGAMENTO|SUCESSO
WPP - PROMESSA DE PAGAMENTO - ATÉ 5 DIAS|SUCESSO
WPP - SEM CONDIÇÕES DE PAGAMENTO|TARGET
WPP - VAI ANALISAR PROPOSTA|TARGET
WPP - VAI VERIFICAR|TARGET
